Rank,Ticker,Company Name,Latest Close,Realised Volatility 30d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (1y),Max Realised Volatility 100d (1y),Mean Realised Volatility 100d (1y),Rvol 100d Percentile (%),Rvol 100d Z-Score Percentile (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%)
24,COIN,"Coinbase Global, Inc.",302.2,66.53,72.7,0.51,-5.34,72.67,97.63,84.49,1.33,3.75,76.36,83.61,58.18,-4.42,,60.96,,,55.41,,,14.52,"189,370",-22.95,-5.5,"1,260,157",10.21,10.29
164,FE,FirstEnergy Corp.,43.31,12.93,14.84,-0.18,-6.44,14.84,28.6,23.92,0.67,2.75,22.9,20.65,14.46,,29.82,13.15,,,13.15,,-0.23,0.38,"1,328",-1.34,-4.46,"67,500",-0.38,2.08
282,ARAY,Accuray Incorporated,1.55,63.39,63.52,0.36,-1.34,58.12,68.97,63.24,48.0,54.85,62.07,63.7,90.59,,,72.66,,,,,,-27.07,497,-28.28,18.9,"7,886",5.46,13.94
252,EZPW,"EZCORP, Inc.",17.08,33.01,30.88,1.0,0.09,22.46,34.13,29.46,60.0,69.39,30.72,29.11,49.19,,,61.48,,,,,,-18.32,"1,519",12.19,-14.08,"13,893",0.46,3.97
133,FIVN,"Five9, Inc.",26.66,52.23,45.31,0.5,-15.75,40.42,57.38,51.42,19.33,13.11,50.71,48.92,58.45,,,62.42,,,,,,-13.14,"2,997",-15.98,-40.33,"97,234",0.56,2.38
298,EEFT,"Euronet Worldwide, Inc.",90.5,27.66,28.99,0.28,-17.18,21.28,42.81,36.33,15.33,12.07,36.15,32.71,33.86,,,34.28,,,34.28,,,-4.86,640,30.88,28.51,"4,851",0.89,22.78
159,LITE,Lumentum Holdings Inc.,149.4,43.3,42.33,0.51,-20.82,42.32,88.98,75.75,1.33,0.09,71.62,66.27,66.77,,,76.97,,,,,,-24.44,"7,257",-42.28,23.29,"72,539",2.76,6.44
236,HALO,"Halozyme Therapeutics, Inc.",75.85,18.79,59.07,0.43,-1.99,28.16,61.22,52.36,46.67,73.7,47.95,51.08,49.94,,,39.76,,,,,,9.13,"1,363",-23.56,-11.49,"18,889",-2.03,2.22
36,DIS,Walt Disney Company (The),118.84,19.44,25.47,0.47,-22.66,20.02,40.12,33.16,28.67,15.48,31.69,29.24,39.28,,32.09,40.04,,47.24,28.55,,16.42,-13.8,"30,857",-22.46,-10.23,"827,966",2.04,1.35
34,AG,First Majestic Silver Corp.,9.44,40.07,55.93,-0.28,-5.07,55.93,72.17,64.12,0.67,3.57,61.4,61.92,84.4,,34.93,59.62,,,59.62,,,-28.47,"53,735",29.1,14.74,"833,137",1.09,10.44
291,BFH,"Bread Financial Holdings, Inc.",65.57,33.13,35.17,0.4,-16.31,35.17,50.33,47.29,0.0,0.01,44.0,46.68,33.08,,-41.45,36.83,,-73.04,40.82,,31.45,2.09,"4,318",0.12,37.78,"6,507",7.84,41.92
77,DDOG,"Datadog, Inc.",136.44,43.6,41.37,0.48,-8.17,36.71,50.51,45.05,15.33,11.67,44.54,42.79,48.9,,,44.32,,,44.32,,,-7.54,"16,159",-18.43,-40.45,"332,301",1.52,-1.25
108,FLR,Fluor Corporation,40.81,98.4,64.9,0.61,-3.55,48.42,71.26,55.71,84.0,91.21,62.11,57.36,48.4,,-10.1,61.53,,4.55,,,,16.5,"5,177",-8.52,33.7,"166,363",0.27,8.61
4,AMD,"Advanced Micro Devices, Inc.",151.41,47.93,44.86,0.48,-22.47,40.27,62.51,54.78,31.33,13.22,54.4,51.23,56.13,,,79.32,,,,,,-11.26,"566,672",-29.98,31.16,"3,834,143",6.01,6.98
215,QD,Qudian Inc.,4.19,74.41,52.15,-0.83,0.46,48.3,75.06,60.25,21.33,19.02,56.43,62.27,75.29,,8.94,77.17,,21.16,,,,-23.14,251,-23.94,-55.73,"29,669",0.32,1.72
87,MDB,"MongoDB, Inc.",323.29,109.04,68.53,0.24,-6.49,53.22,81.13,69.33,28.0,46.66,73.63,69.48,54.22,,,53.59,,,53.67,,,14.31,"28,913",-33.76,-54.14,"280,575",5.1,2.04
76,PCT,"PureCycle Technologies, Inc.",13.39,59.24,76.09,0.33,-5.21,70.64,98.92,83.59,19.33,15.36,79.58,90.69,71.95,,,71.47,,,,,,4.14,"17,465",20.8,21.01,"332,420",0.83,3.91
307,VERX,"Vertex, Inc.",25.93,71.5,49.06,4.05,-0.5,35.01,56.16,50.64,22.67,39.47,52.87,49.67,51.46,,,50.32,,,50.32,,,-2.4,"1,486",152.72,89.3,"3,898",1.51,13.18
83,BB,BlackBerry Limited,3.86,28.0,39.59,0.22,-13.35,39.59,80.12,65.12,0.0,0.61,61.24,58.94,79.03,,4.16,59.61,,,,,,-39.44,"8,983",-25.59,-27.74,"310,423",2.12,4.49
143,DBRG,"DigitalBridge Group, Inc.",11.4,29.72,45.85,0.59,-15.68,43.84,71.25,59.53,10.0,6.11,56.14,54.54,56.53,,7.51,48.15,,,,,,-10.68,"1,518",-0.13,-13.95,"87,787",-0.04,-0.03
234,ALNY,"Alnylam Pharmaceuticals, Inc.",455.03,47.0,39.14,0.5,-10.32,37.48,53.28,46.73,18.0,7.24,45.98,42.81,51.57,,,45.98,,,,,,-12.43,"4,403",12.15,23.61,"19,453",1.42,7.24
137,SO,Southern Company (The),90.83,12.04,15.52,0.05,-1.64,15.52,22.59,19.85,0.67,0.48,18.74,17.97,16.02,,-4.1,17.95,,-5.93,19.65,,2.95,-0.5,"6,168",22.24,-12.0,"94,707",0.78,-0.96
7,AAL,"American Airlines Group, Inc.",12.95,50.13,49.88,0.51,-22.95,43.43,68.46,58.83,29.33,15.45,57.99,55.13,53.98,,,125.26,,,53.1,,,-4.1,"137,477",39.69,182.54,"3,074,704",0.2,0.03
81,ABBV,AbbVie Inc.,209.79,16.14,24.08,0.04,-9.93,24.08,33.0,29.93,0.0,0.01,26.23,28.21,24.97,,33.67,23.05,,-18.28,25.96,,-7.98,-0.89,"24,936",160.48,83.41,"315,361",0.67,2.96
256,VTR,"Ventas, Inc.",68.08,14.66,18.27,-0.84,-5.41,18.27,28.78,24.81,0.67,0.87,23.45,22.19,27.21,,88.37,26.41,,63.42,26.41,,63.42,-8.94,"1,654",-16.55,-35.94,"12,822",0.34,10.05
198,FRPT,"FarPointe Data, Inc.",55.72,50.68,47.36,0.42,-9.0,29.95,65.14,55.87,9.33,15.66,56.49,50.97,57.9,,,61.16,,,,,,-10.54,"5,486",-0.04,17.15,"37,545",-0.29,16.82
331,VECO,Veeco Instruments Inc.,24.8,55.46,46.39,0.5,-9.05,36.28,53.42,45.88,32.0,53.78,47.49,44.89,53.41,,,54.99,,,,,,-7.02,974,-1.12,-3.37,"2,075",0.34,-0.48
98,HLF,Herbalife Ltd.,9.88,54.93,63.93,0.43,-4.54,47.57,84.93,73.88,12.0,16.49,73.12,68.04,68.9,,-11.27,80.05,,-4.51,,,,-4.97,"32,098",3.98,256.76,"210,124",0.23,10.22
124,INDI,"indie Semiconductor, Inc.",4.24,66.91,78.23,0.15,-8.04,78.23,121.99,100.48,0.67,1.32,86.76,99.44,97.6,,,82.97,,,82.97,,,-19.37,"3,079",-36.45,-16.29,"113,934",-0.37,0.01
259,CYBR,CyberArk Software Ltd.,468.8,45.6,36.13,0.19,-9.73,28.81,46.63,40.7,17.33,16.7,40.85,38.16,54.52,,,51.72,,,,,,-18.39,"2,367",35.88,23.99,"12,241",0.13,2.37
116,NTNX,"Nutanix, Inc.",74.98,41.4,34.84,5.43,-12.85,33.21,55.12,47.18,2.0,1.9,44.77,42.89,44.8,,,50.38,,,,,,-9.96,"13,134",116.2,39.19,"144,662",-0.21,-0.43
360,ITGR,Integer Holdings Corporation,106.22,20.31,26.61,0.24,-15.62,22.58,32.92,29.37,31.33,20.8,29.0,27.86,36.11,,-70.06,42.68,,-67.59,42.68,,,-9.5,36,2.86,2.86,265,6.43,9.5
171,FOUR,"Shift4 Payments, Inc.",87.31,56.5,46.46,0.23,-9.11,41.23,64.0,55.2,7.33,5.35,52.78,50.3,48.44,,15.95,44.35,,,44.35,,4.41,-1.98,"17,475",3.12,790.67,"60,880",0.23,15.3
130,INSM,Insmed Incorporated,146.68,36.45,53.83,0.17,-1.8,38.31,57.63,46.85,59.33,80.21,48.55,46.1,32.18,,,27.42,,,25.79,,,21.65,"4,323",-5.11,-77.54,"102,766",1.09,29.58
38,TEVA,Teva Pharmaceutical Industries Limited,19.3,39.44,39.88,0.64,-8.9,39.82,63.19,51.75,0.67,1.71,52.44,47.13,57.52,,9.38,50.49,,,42.01,,8.36,-17.64,"47,783",106.91,67.41,"766,259",1.64,4.08
253,PEGA,"Pegasystems, Inc.",57.5,39.18,55.17,0.88,-5.26,36.27,70.26,59.91,29.33,29.65,58.45,53.19,46.79,,,45.67,,,,,,8.38,"1,162",11.09,4.87,"13,759",-0.56,-1.37
158,GES,"Guess?, Inc.",16.91,74.94,61.87,-0.09,-18.83,37.33,89.79,74.26,20.0,25.79,76.01,67.29,83.99,,-51.91,21.2,,,,,,-22.12,"3,304",-0.06,-5.57,"73,874",0.02,0.01
325,LAB,Standard BioTools Inc.,1.36,44.09,70.24,1.0,-4.18,69.9,90.05,83.09,2.0,0.5,79.77,76.65,183.71,,,71.57,,,71.57,,,-113.47,735,137.1,166.3,"2,340",2.41,3.77
153,LPSN,"LivePerson, Inc.",0.97,130.38,94.78,0.37,-1.8,79.38,116.74,98.82,36.0,36.88,102.24,100.74,129.75,,,,,,,,,-34.97,"1,530",-7.83,-26.69,"77,620",0.12,1.74
52,FUBO,fuboTV Inc.,4.12,73.05,70.27,0.64,-2.01,69.71,218.9,153.52,2.0,11.91,168.27,147.17,81.8,,-19.52,76.51,,-5.49,,,,-11.53,"76,416",35.79,47.84,"574,322",3.22,6.44
91,SABR,Sabre Corporation,1.74,131.23,88.16,-0.56,-10.05,57.34,104.24,79.52,85.33,75.63,86.28,80.88,90.7,,,77.48,,,,,,-2.54,"10,830",-10.27,-1.61,"235,072",0.96,1.72
141,CYTK,"Cytokinetics, Incorporated",52.09,109.24,73.16,0.43,45.6,37.36,73.57,54.14,98.0,99.8,66.46,59.73,68.32,,,58.64,,,,,,4.84,"2,746",-63.8,-9.61,"90,609",2.64,9.12
30,RUN,Sunrun Inc.,16.92,135.36,158.06,0.59,-1.21,75.54,161.84,115.62,92.0,91.35,131.04,121.19,111.97,,,65.39,,,67.01,,,46.09,"58,056",-43.35,69.28,"993,928",2.58,1.46
100,GPRO,"GoPro, Inc.",1.72,131.04,112.7,2.27,1.96,59.74,113.07,82.73,98.0,99.13,98.81,90.57,179.45,,,,,,,,,-66.76,"48,625",966.1,451.37,"200,842",0.48,-7.56
135,GDS,GDS Holdings Limited,33.51,56.06,64.46,0.42,-7.6,64.44,108.74,94.3,1.33,0.71,89.29,85.76,73.05,,,70.88,,,68.75,,,-8.59,"3,672",0.3,-49.84,"96,070",0.21,4.37
203,VRNT,Verint Systems Inc.,20.34,42.56,49.96,0.19,-6.29,47.05,61.6,53.88,34.67,22.17,50.69,52.51,45.58,,,123.04,,,,,,4.38,"2,623",-11.42,-24.02,"35,057",0.02,3.31
186,AXON,"Axon Enterprise, Inc.",740.61,57.74,47.75,0.56,-4.87,47.14,70.69,59.21,3.33,4.46,55.86,55.73,89.04,,,48.99,,,,,,-41.29,"4,334",-2.54,-0.25,"44,496",0.6,5.08
57,PEP,"PepsiCo, Inc.",141.71,21.86,24.04,2.35,-0.9,16.88,25.59,22.93,54.67,69.54,23.97,21.74,28.16,,,24.81,,,24.81,,,-4.12,"52,175",-15.2,116.11,"492,520",1.28,1.19
185,PRGS,Progress Software Corporation,43.2,32.47,34.98,0.53,-1.82,27.79,40.36,34.77,36.0,52.16,36.68,34.8,55.8,,,50.69,,,,,,-20.82,"4,132",37.28,129.68,"44,713",2.08,4.1
317,WK,Workiva Inc.,81.37,91.59,57.82,0.28,-4.71,39.82,64.01,49.29,84.0,87.8,56.5,50.41,87.89,,88.11,55.65,,,,,,-30.07,292,7.75,19.67,"2,932",1.35,3.31
104,NET,"Cloudflare, Inc.",217.92,35.63,38.83,0.57,-14.86,38.73,65.25,56.77,1.33,0.27,53.65,50.62,77.31,,40.95,56.66,,-5.0,56.62,,,-38.48,"17,433",84.99,35.5,"183,624",-0.09,0.02
271,CMRC,Costar Technologies Inc.,4.66,62.29,44.03,1.02,-6.1,39.98,53.57,47.34,15.33,15.69,46.78,48.06,77.05,,1.79,,,,,,,-33.03,"2,676",559.11,178.46,"10,515",2.09,2.09
365,MAXN,"Maxeon Solar Technologies, Ltd.",,,,,,,,,,,,,,,,,,,,,,,N/A,,,N/A,,
242,HAE,Haemonetics Corporation,54.1,93.81,56.28,0.48,-3.43,30.14,59.07,41.85,86.0,96.76,50.9,46.76,42.63,,-38.84,39.0,,,39.0,,,13.65,"1,186",-23.39,-22.64,"16,703",0.74,0.52
149,LYV,"Live Nation Entertainment, Inc.",169.4,24.57,24.7,2.61,-14.29,21.42,37.97,32.52,12.67,6.55,31.41,29.4,57.11,,95.4,34.7,,14.69,30.77,,1.68,-32.41,"4,330",-6.94,-44.79,"83,673",-2.97,3.69
365,MLAB,"Mesa Laboratories, Inc.",,,,,,,,,,,,,,,,,,,,,,,N/A,,,N/A,,
80,NVAX,"Novavax, Inc.",7.73,86.58,78.34,-0.93,-10.57,68.19,93.15,82.74,24.0,26.03,81.44,82.06,102.58,,,,,,,,,-24.24,"11,567",-36.58,-28.86,"325,079",1.23,2.91
207,BKNG,Booking Holdings Inc.,5569.7,19.16,21.22,0.56,-21.12,21.2,34.82,30.16,0.67,1.04,28.65,26.75,30.96,,,29.41,,,25.77,,,-9.75,"9,891",6.88,8.18,"32,744",4.06,3.09
161,NRG,"NRG Energy, Inc.",147.76,50.66,53.64,0.46,-6.57,44.07,70.82,59.75,28.0,22.2,58.77,53.5,60.55,,18.46,42.91,,9.43,42.88,,-7.07,-6.91,"9,564",86.03,66.59,"69,101",-0.7,-0.61
138,GPRE,"Green Plains, Inc.",10.1,90.57,75.34,1.36,-3.5,57.89,89.19,78.02,32.0,34.12,81.43,75.69,97.7,,,98.6,,,,,,-22.36,"4,976",9.89,7.4,"94,572",-2.92,2.68
1,TSLA,"Tesla, Inc.",346.4,35.36,56.26,0.6,-14.57,55.97,81.76,75.21,2.0,0.03,69.39,70.0,54.34,,-1.09,52.93,,-16.35,53.11,,,1.92,"1,559,083",-5.81,11.39,"7,507,511",5.6,6.07
285,HRTG,"Heritage Insurance Holdings, Inc.",23.73,58.49,61.07,-0.92,-1.88,46.38,78.6,60.34,46.0,53.43,57.2,67.79,99.78,,0.52,51.73,,,,,,-38.72,349,-5.16,50.43,"7,569",0.29,1.28
225,TWO,Two Harbors Investment Corp.,10.28,28.99,29.49,0.22,-5.82,21.21,34.28,29.29,39.33,51.91,30.1,27.69,54.87,,-19.85,47.2,,,,,,-25.38,"1,098",-16.25,9.58,"21,836",0.14,5.37
365,TPIC,"TPI Composites, Inc.",,,,,,,,,,,,,,,,,,,,,,,N/A,,,N/A,,
151,TCOM,Trip.com Group Limited,73.02,52.83,39.29,-0.42,-1.58,37.17,54.85,46.06,14.67,7.61,44.67,48.38,102.02,,,72.13,,,,,,-62.73,"4,079",-8.48,-54.03,"81,204",-0.12,4.69
219,CYRX,"Cryoport, Inc.",10.04,105.58,84.33,0.63,0.45,63.4,122.27,104.29,19.33,16.19,104.89,95.48,76.35,,,81.02,,,,,,7.98,"3,903",-21.37,23.16,"27,366",3.63,4.77
41,SLB,Schlumberger Limited,35.78,29.42,30.41,0.5,-22.95,28.59,46.01,39.66,26.0,8.89,39.11,36.4,38.61,,-16.19,37.32,,-62.05,37.32,,,-8.2,"23,136",-18.96,-21.4,"745,589",1.06,1.7
84,TDOC,"Teladoc Health, Inc.",7.84,47.26,51.22,0.5,-6.18,51.08,72.55,63.8,1.33,1.76,59.83,61.75,82.74,,14.27,62.94,,,,,,-31.52,"14,543",-50.96,23.73,"305,810",4.93,1.8
334,LCII,LCI Industries,105.24,32.73,32.55,0.6,-12.34,32.16,41.85,38.01,10.67,6.96,37.31,35.94,44.08,,-29.71,,,,,,,-11.53,440,0.0,-10.39,"1,481",-1.73,2.42
205,CDLX,"Cardlytics, Inc.",0.91,122.15,126.93,0.38,-2.6,82.31,134.37,105.27,83.33,91.51,115.83,107.61,183.8,,,164.56,,,,,,-56.87,"1,240",35.37,19.46,"34,624",-0.03,1.66
177,UPWK,Upwork Inc.,15.96,51.71,46.23,0.52,-5.54,45.71,62.3,52.77,4.0,5.27,49.03,53.09,56.57,,,,,,,,,-10.34,"2,665",-14.69,15.67,"49,284",1.73,9.08
335,AMPH,"Amphastar Pharmaceuticals, Inc.",29.26,63.33,45.8,0.49,-4.86,34.92,49.72,41.0,87.33,92.78,43.87,43.11,69.56,,,67.04,,,,,,-23.77,186,5.68,3.33,"1,449",0.69,3.8
136,TTWO,"Take-Two Interactive Software, Inc.",248.78,27.1,27.72,2.7,-3.52,23.16,38.71,33.17,4.0,6.04,32.17,29.66,38.35,,,45.64,,,,,,-10.63,"10,109",65.45,5.65,"95,299",3.54,5.38
179,SPHR,Sphere Entertainment Co.,54.42,55.28,50.88,5.42,-11.83,38.3,67.64,57.76,30.0,24.53,58.31,54.84,60.84,,2.77,105.76,,87.47,,,,-9.97,"13,198",131.99,169.84,"48,661",5.48,38.9
343,ECPG,"Encore Capital Group, Inc.",44.84,34.57,47.97,0.5,-14.47,24.41,73.07,57.94,16.0,24.69,57.5,50.63,64.47,,,42.41,,,,,,-16.5,197,-11.66,-12.83,"1,065",-9.05,-7.71
22,NKE,"NIKE, Inc.",74.15,25.35,37.97,0.29,-13.2,26.14,53.55,42.52,28.67,32.0,43.27,39.29,41.63,,17.0,38.0,,18.27,37.26,,10.61,-3.66,"72,864",-1.86,-60.23,"1,441,837",0.95,0.87
273,GTLS,"Chart Industries, Inc.",199.69,42.63,48.46,0.49,-10.82,41.0,72.85,62.97,13.33,7.52,60.63,55.73,35.12,,-29.74,57.58,,,,,,13.34,"1,808",-5.09,-30.17,"10,177",0.27,34.72
208,BLMN,"Bloomin' Brands, Inc.",6.92,119.34,91.4,-0.36,-3.39,49.54,98.44,76.53,84.67,86.5,85.23,77.13,99.17,,,71.42,,,,,,-7.77,"1,290",-12.96,2.63,"32,389",3.45,3.91
188,BURL,"Burlington Stores, Inc.",290.25,32.47,36.99,0.46,-9.87,27.45,51.23,42.77,23.33,22.35,42.27,38.81,34.82,,-65.34,34.32,,,34.32,,493.39,2.17,"7,225",26.31,-28.1,"41,979",-1.46,7.89
115,TRIP,"TripAdvisor, Inc.",17.38,53.5,54.7,0.65,-11.69,44.08,66.93,57.71,32.67,34.22,59.1,54.13,64.03,,,48.19,,,48.02,,,-9.33,"5,258",4.45,17.97,"146,940",1.05,2.84
312,MITK,"MITEK Systems, Inc.",9.98,38.48,34.65,0.74,-12.33,34.57,51.54,43.76,0.67,0.18,42.61,40.73,57.2,,,46.08,,,,,,-22.55,387,59.26,108.06,"3,523",0.4,5.92
2,NIO,NIO Inc.,6.17,85.21,63.04,0.69,-1.41,58.47,68.69,64.17,29.33,32.76,64.82,69.68,99.65,,3.62,81.15,,-5.36,,,,-36.61,"195,284",13.04,-34.87,"4,279,321",0.73,0.7
49,PTON,"Peloton Interactive, Inc.",8.1,80.42,72.38,0.44,-5.02,72.38,90.47,82.76,0.67,0.12,78.39,82.14,60.82,,,61.15,,,,,,11.57,"19,057",-12.72,99.76,"605,081",1.11,3.04
101,RTX,RTX Corporation,154.22,13.44,26.73,1.44,-5.83,19.85,34.58,29.56,30.67,30.95,28.46,26.04,31.3,,52.75,29.73,,34.89,,,,-4.57,"13,812",78.98,67.15,"199,718",0.97,1.16
297,JAMF,Jamf Holding Corp.,9.58,48.48,40.95,1.94,-7.67,31.34,47.41,39.97,42.67,58.31,41.24,39.73,93.3,,,69.29,,,,,,-52.35,272,-13.1,38.07,"4,993",1.22,0.18
289,AEIS,"Advanced Energy Industries, Inc.",154.43,42.43,37.62,0.21,-22.76,35.19,63.68,53.13,6.0,4.81,51.83,46.66,33.71,,,17.05,,,,,,3.91,"1,102",-47.97,-10.77,"6,768",0.36,40.15
214,PRCH,"Porch Group, Inc.",19.04,79.88,110.69,0.45,-2.61,110.69,181.31,146.03,0.0,3.77,122.47,140.57,104.83,,,86.5,,,,,,5.86,"3,891",-11.31,56.58,"30,696",6.42,56.25
142,MNKD,MannKind Corporation,5.57,94.05,64.7,0.49,22.11,32.89,64.71,38.97,99.33,99.99,54.14,48.03,108.72,,,66.3,,,,,,-44.02,"2,544",-58.63,-73.94,"89,635",3.17,4.65
327,INVA,"Innovava, Inc.",20.46,29.63,23.34,-0.86,-1.02,15.44,23.82,17.8,88.0,98.31,20.71,19.76,52.53,,,28.04,,,28.04,,,-29.18,80,26.98,23.08,"2,244",0.36,1.4
106,MTCH,"Match Group, Inc.",38.77,38.93,34.54,0.66,-6.72,34.41,47.68,40.56,1.33,4.97,37.19,39.75,37.76,,,34.47,,,38.66,,,-3.22,"6,751",29.38,-70.51,"176,084",0.04,4.92
229,DNMR,"Danimer Scientific, Inc.",0.35,0.0,0.0,,,0.0,261.9,187.77,0.0,0.76,185.17,172.56,378.43,,2.48,,,,,,,-378.43,287,0.0,0.0,"21,238",0.0,0.0
222,WELL,Welltower Inc.,169.36,19.44,18.87,-0.52,-5.34,18.87,25.86,23.61,0.67,0.12,22.47,21.88,50.47,,62.45,51.84,,,,,,-31.6,"1,611",-3.59,16.99,"25,357",0.59,4.24
103,KOS,Kosmos Energy Ltd.,1.65,61.46,71.96,-1.52,-12.74,63.83,98.14,85.98,28.0,13.37,83.95,78.5,142.51,,36.11,,,,,,,-70.55,"2,262",-21.97,42.17,"185,636",0.52,2.03
332,TYL,"Tyler Technologies, Inc.",566.1,28.16,24.99,0.68,-11.32,20.96,31.22,27.73,25.33,17.71,27.58,25.45,35.06,,30.23,32.99,,,,,,-10.07,496,14.29,14.55,"1,812",0.61,2.43
123,MGNI,"Magnite, Inc.",25.35,54.21,59.22,0.51,-12.09,51.25,79.66,68.58,26.0,15.76,67.15,63.54,68.28,,,60.83,,,,,,-9.07,"10,640",55.92,-6.48,"114,591",4.16,3.18
97,PENN,"Penn Entertainment, Inc.",20.09,29.7,41.89,0.84,-19.12,41.56,61.93,54.82,8.0,3.62,52.35,49.91,53.3,,,48.36,,,,,,-11.41,"8,047",-55.87,-18.3,"213,148",-1.91,-3.78
283,HCAT,"Health Catalyst, Inc.",3.38,108.17,73.21,0.39,-0.6,53.9,74.03,61.41,94.0,99.07,67.79,64.44,93.35,,,,,,,,,-20.14,778,8.21,-36.28,"7,837",0.66,10.57
13,MARA,"Marathon Digital Holdings, Inc.",15.2,42.08,67.02,0.2,-7.78,67.02,108.01,91.35,0.0,0.44,79.81,87.81,85.69,,,131.59,,,,,,-18.67,"157,106",-41.66,-18.12,"2,473,425",6.58,6.79
347,PEB,Peabody Energy Corporation,11.56,40.9,39.22,0.91,-24.1,32.71,59.19,49.82,30.67,14.79,49.49,45.74,66.16,,2.7,39.21,,,39.21,,,-26.94,61,0.0,-26.51,968,47.11,51.96
78,ON,ON Semiconductor Corporation,48.88,60.35,56.24,0.47,-18.13,39.87,73.75,61.36,32.0,33.21,62.83,56.85,111.64,,,,,,,,,-55.39,"11,631",-10.58,-42.36,"330,979",0.71,7.63
258,XMTR,"Xometry, Inc.",51.79,118.62,80.36,0.71,-2.18,65.27,87.22,73.38,85.33,88.82,79.29,75.52,71.26,,,77.75,,,,,,9.1,807,-18.15,-22.18,"12,498",1.49,92.81
191,SPR,"Spirit AeroSystems Holdings, Inc.",41.07,22.9,19.22,0.54,-23.16,19.15,32.31,28.5,2.0,1.76,26.88,26.44,39.43,,-1.23,,,,,,,-20.21,"3,831",-3.33,-4.06,"41,071",0.29,0.1
119,DUK,Duke Energy Corporation,120.17,14.08,16.04,-0.33,-1.81,16.04,21.33,19.15,0.67,0.26,17.92,17.87,17.04,,14.12,22.05,,,22.05,,10.39,-1.0,"10,694",-11.22,-19.27,"137,542",0.31,1.97
56,SHOP,Shopify Inc.,146.22,66.67,53.94,0.42,-11.71,49.16,72.82,64.35,16.67,8.35,63.26,59.54,109.18,,,83.93,,,67.57,,,-55.25,"31,328",0.89,-5.22,"496,719",1.89,2.98
3,SOFI,"SoFi Technologies, Inc.",25.96,52.83,47.21,0.52,-15.8,47.2,76.11,67.21,1.33,0.19,64.9,61.14,78.27,,,84.58,,,,,,-31.06,"341,613",2.66,15.44,"3,840,586",2.53,5.1
20,BABA,Alibaba Group Holding Limited,141.2,50.94,42.43,-0.51,-3.29,42.28,56.82,50.5,0.67,4.44,49.92,48.43,44.8,,-6.68,42.3,,2.08,42.78,,3.25,-2.38,"354,531",99.53,-53.87,"1,533,903",2.8,18.08
96,XRX,Xerox Holdings Corporation,3.83,86.38,77.75,0.53,-8.08,44.57,89.05,66.69,81.33,81.88,73.15,67.83,152.78,,,,,,,,,-75.03,"2,026",-29.41,28.96,"215,890",0.31,1.05
288,HCI,"HCI Group, Inc.",174.9,32.74,31.3,1.0,0.71,30.61,48.91,35.48,8.0,20.41,32.53,39.92,64.24,,-15.48,63.68,,-4.84,,,,-32.94,"1,278",0.55,3.06,"6,860",0.65,3.33
70,SEDG,"SolarEdge Technologies, Inc.",33.44,81.22,125.83,0.14,-5.4,100.1,136.31,117.27,62.0,74.69,116.66,115.03,137.49,,,110.49,,,,,,-11.66,"24,838",73.2,29.17,"351,991",0.86,0.82
180,PPL,PPL Corporation,35.65,15.91,16.79,-0.91,-1.77,16.79,21.63,19.66,0.0,0.98,18.99,18.37,16.54,,-12.47,,,,,,,0.25,"1,290",17.7,-33.54,"48,546",-10.76,-10.7
296,IDCC,"InterDigital, Inc.",299.91,44.46,32.06,2.27,-5.79,30.47,42.04,37.88,16.67,5.69,37.72,35.59,44.36,,,38.67,,,,,,-12.3,"1,107",7.06,9.82,"5,095",11.59,24.09
139,AKAM,"Akamai Technologies, Inc.",78.88,31.44,31.25,0.52,-15.57,31.25,56.71,48.67,0.67,2.05,45.17,42.81,38.58,,,38.63,,,38.63,,,-7.33,"5,316",-18.69,95.08,"91,522",2.18,6.28
156,BXMT,"Blackstone Mortgage Trust, Inc.",19.93,23.86,20.79,-1.94,-17.43,20.79,30.07,26.77,0.0,0.43,26.18,24.93,29.72,,-6.14,,,,,,,-8.93,"2,273",4.89,48.47,"75,286",-0.18,0.46
361,CSGS,"CSG Systems International, Inc.",65.18,20.9,23.94,-0.65,-10.69,23.94,29.75,27.78,0.67,0.03,26.48,26.41,42.94,,,23.19,,,23.19,,,-19.01,23,15.0,0.0,81,5.19,5.19
329,PCRX,"Pacira BioSciences, Inc.",26.74,36.85,35.0,0.35,-19.57,35.0,55.41,47.14,0.67,0.06,43.41,44.58,57.52,,,47.59,,,48.62,,,-22.52,470,-28.13,-28.46,"2,218",-0.85,0.27
99,LAZR,"Luminar Technologies, Inc.",1.71,80.84,91.43,-0.41,-1.68,91.43,142.88,124.05,0.0,0.97,118.29,115.4,147.79,,,146.74,,,,,,-56.36,"5,192",-11.25,-56.98,"210,109",1.02,5.22
