Rank,Ticker,Company Name,Latest Close,Realised Volatility 30d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (1y),Max Realised Volatility 100d (1y),Mean Realised Volatility 100d (1y),Rvol 100d Percentile (%),Rvol 100d Z-Score Percentile (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),Latest Close_Color,Realised Volatility 30d (%)_Color,Realised Volatility 100d (%)_Color,Realised Volatility 100d 1d (%)_Color,Realised Volatility 100d 1w (%)_Color,Min Realised Volatility 100d (1y)_Color,Max Realised Volatility 100d (1y)_Color,Mean Realised Volatility 100d (1y)_Color,Rvol 100d Percentile (%)_Color,Rvol 100d Z-Score Percentile (%)_Color,Realised Volatility 180d (%)_Color,Realised Volatility 252d (%)_Color,Weighted IV (%)_Color,Weighted IV 1d (%)_Color,Weighted IV 1w (%)_Color,Weighted IV 3m (%)_Color,Weighted IV 3m 1d (%)_Color,Weighted IV 3m 1w (%)_Color,ATM IV 3m (%)_Color,ATM IV 3m 1d (%)_Color,ATM IV 3m 1w (%)_Color,Rvol100d - Weighted IV_Color,Volume_Color,Volume 1d (%)_Color,Volume 1w (%)_Color,Open Interest_Color,OI 1d (%)_Color,OI 1w (%)_Color
209,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",27.85,34.63,38.4,0.38,-6.57,32.32,41.31,37.84,50.99,61.07,36.14,37.68,35.6,3.73,-4.3,29.39,,,,,,2.8,"2,872",-2.87,-5.53,"31,342",0.04,0.13,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981
247,GCI,"Gannett Co., Inc.",4.18,46.89,52.62,-3.76,-6.07,49.64,65.46,60.03,5.96,1.09,55.06,60.03,53.14,-5.64,3.88,66.7,,,,,,-0.51,900,2.27,19.05,"14,622",0.06,-0.27,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#F87171
361,CSGS,"CSG Systems International, Inc.",65.09,22.57,24.73,-6.72,-9.11,24.44,29.75,27.79,2.65,0.18,26.53,26.52,32.55,8.45,4.87,30.49,,,30.49,2.57,1.12,-7.82,23,0.0,0.0,77,2.67,2.67,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981
263,MTH,Meritage Homes Corporation,76.78,39.79,40.92,-2.22,-6.36,32.77,45.35,38.92,73.51,71.37,40.25,38.64,32.08,-19.75,-17.52,33.42,,,33.42,,-7.8,8.84,"1,042",-2.34,28.48,"11,021",0.86,1.31,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981
192,RPD,"Rapid7, Inc.",20.42,53.0,44.85,-3.0,-5.89,28.96,49.55,40.53,66.89,75.33,42.84,40.8,47.09,-16.63,-9.16,48.98,,-9.17,49.42,,,-2.25,"8,473",-1.84,-0.48,"38,259",4.05,4.7,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981
344,OMCL,"Omnicell, Inc.",32.82,29.75,44.9,-2.06,-3.97,38.75,62.88,50.79,17.88,20.28,43.28,51.01,47.2,2.49,-0.91,49.59,,-3.68,52.68,26.7,,-2.3,169,1.81,23.36,"1,012",0.9,3.37,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981
235,ALNY,"Alnylam Pharmaceuticals, Inc.",447.43,46.95,41.64,-3.35,-11.6,37.48,53.28,46.63,25.17,17.23,46.2,43.89,55.46,1.15,17.35,51.3,,,,,,-13.82,"3,963",9.84,16.39,"18,560",-0.47,6.11,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#F87171,#10B981
215,NVCR,NovoCure Limited,12.08,90.98,67.95,-2.18,-3.52,53.74,90.05,72.83,39.74,36.11,62.54,76.85,96.02,40.62,33.91,87.85,,,,,,-28.08,"1,954",-1.21,-21.59,"29,167",0.61,3.3,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981
111,FLR,Fluor Corporation,42.87,99.06,65.1,-3.14,-5.47,48.29,71.26,55.34,84.77,92.65,61.99,57.52,84.64,50.72,74.65,60.69,,2.64,,,,-19.54,"10,875",-23.96,18.93,"159,848",4.11,6.97,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981
218,FVRR,Fiverr International Ltd.,23.4,51.12,41.41,-5.37,-8.56,41.41,56.15,49.96,0.0,0.52,46.77,48.27,48.66,-0.55,-2.54,53.63,,-19.88,,,,-7.25,"1,619",-15.94,-18.11,"27,565",0.03,1.19,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981
172,GH,"Guardant Health, Inc.",65.06,64.63,54.06,-2.77,-3.91,53.19,74.17,66.38,1.99,2.2,64.06,62.41,63.17,3.11,7.25,84.98,,,,,,-9.11,"14,744",136.59,130.27,"58,261",-0.45,2.71,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#F87171,#10B981
46,DKNG,DraftKings Inc.,47.68,30.89,35.27,-10.51,-12.54,35.27,56.48,49.74,0.66,0.68,47.55,45.05,57.54,-5.16,21.02,58.71,,33.9,,,,-22.27,"41,919",26.11,-24.14,"650,995",1.34,2.26,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF,#10B981,#10B981
101,HLF,Herbalife Ltd.,9.93,70.4,65.21,0.16,-2.49,47.57,84.93,73.48,15.23,22.04,73.25,68.13,70.45,2.91,-30.21,73.58,,-4.93,,,,-5.24,"30,596",361.55,370.42,"193,722",0.48,1.99,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981
99,RTX,RTX Corporation,158.11,18.44,26.54,-5.74,-19.33,19.32,34.58,29.36,31.13,31.55,28.37,26.02,35.09,0.5,42.9,24.63,,5.41,24.63,,5.41,-8.55,"10,499",2.29,26.19,"201,920",1.47,1.84,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981
293,GWRE,"Guidewire Software, Inc.",219.25,20.96,32.43,-7.6,-10.68,32.43,46.45,40.23,0.0,1.4,36.72,37.65,81.92,99.84,24.89,131.85,,,,,,-49.49,"1,500",122.88,56.09,"5,003",5.35,21.76,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981
324,ITRI,"Itron, Inc.",120.91,36.98,27.59,-7.97,-13.25,26.81,36.91,33.33,6.62,2.84,32.54,31.9,109.8,127.51,148.52,117.41,,249.01,155.31,83.59,361.67,-82.22,578,0.17,1.05,"2,299",-0.48,5.9,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#10B981,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#F87171,#10B981
264,SKIN,The Beauty Health Company,2.0,96.7,128.69,0.45,-1.79,69.0,136.67,106.09,71.52,81.16,112.27,106.36,98.77,-16.76,-9.38,57.72,,-54.86,,,,29.92,165,0.0,-36.29,"11,014",0.01,0.17,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981
288,MMYT,MakeMyTrip Limited,100.03,36.49,44.21,-5.07,-10.41,44.21,58.74,53.54,0.0,0.02,49.67,52.03,57.19,-7.74,-58.09,71.5,,-67.2,,,,-12.97,532,-3.62,35.71,"5,687",2.3,3.03,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981
201,VRNT,Verint Systems Inc.,20.41,42.65,50.68,-3.83,-6.08,47.05,61.6,53.84,41.72,26.91,50.93,52.69,33.25,-7.63,-37.11,121.76,,,,,,17.43,"3,200",1.3,88.12,"34,579",1.61,15.73,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981
298,IDCC,"InterDigital, Inc.",284.77,43.9,31.76,-6.23,-8.27,30.47,42.04,37.83,17.22,5.12,37.47,35.51,63.89,58.41,28.61,58.4,,,,,,-32.14,"1,000",-8.26,27.06,"4,411",1.68,9.08,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981
22,NKE,"NIKE, Inc.",74.74,25.89,40.48,-7.08,-8.44,25.53,53.55,42.17,33.77,43.29,43.23,39.28,39.54,4.73,12.29,41.15,,15.74,36.65,,,0.94,"80,192",-18.68,132.12,"1,432,061",1.45,-0.77,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#F87171
157,GES,"Guess?, Inc.",16.83,75.91,64.5,-12.41,-19.51,37.33,89.79,73.53,30.46,32.45,76.2,67.41,82.93,36.12,27.77,69.05,,,,,,-18.43,"3,487",0.17,-8.29,"73,867",0.02,0.68,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF,#10B981,#10B981
319,MIRM,"Mirum Pharmaceuticals, Inc.",74.61,48.87,41.56,-1.1,-3.52,36.48,43.97,40.16,73.51,76.61,41.17,40.12,52.31,-12.37,30.2,46.02,,,,,,-10.75,393,3.15,-1.01,"2,800",0.79,16.47,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#F87171,#FFFFFF,#10B981,#10B981
26,BA,Boeing Company (The),232.38,27.25,28.43,-20.12,-27.58,28.43,47.78,41.12,0.0,3.83,38.96,37.79,37.38,19.88,-17.93,52.84,,57.42,,,,-8.94,"81,205",0.25,7.75,"1,041,831",1.73,-0.57,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#F87171
195,NOG,"Northern Oil and Gas, Inc.",25.65,50.94,50.96,-12.0,-18.03,34.1,67.76,55.29,33.77,36.87,56.05,51.5,69.44,30.37,35.14,66.55,,4.81,,,,-18.48,"2,735",8.27,3.52,"36,774",1.28,3.24,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981
318,GVA,Granite Construction Incorporated,105.73,32.49,24.09,-9.18,-10.93,23.47,31.17,27.93,7.95,5.2,28.21,26.67,67.06,18.64,202.14,55.97,,,,,,-42.97,891,7.09,112.65,"2,823",0.25,43.08,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981
74,SE,Sea Limited,180.98,57.76,46.16,-6.66,-12.79,33.57,56.49,48.65,31.13,36.9,50.4,46.59,56.34,11.2,14.35,70.81,,64.92,,,,-10.18,"9,335",-48.04,-42.24,"337,712",0.96,-1.2,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#F87171
295,ZD,"Ziff Davis, Inc.",37.23,72.35,55.04,-4.02,-5.67,37.23,60.96,47.71,87.42,86.31,51.52,49.01,46.88,-8.64,-0.17,44.17,,,44.17,,-3.35,8.16,"1,778",-1.44,2.01,"4,830",0.17,0.98,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981
289,VRNS,"Varonis Systems, Inc.",55.43,36.94,27.23,-8.37,-10.51,25.86,36.73,32.75,2.65,2.57,32.09,32.8,118.56,257.19,276.55,102.45,,,102.45,,,-91.33,"2,163",85.67,232.26,"5,661",3.1,3.25,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981
365,CABO,"Cable One, Inc.",,,,,,,,,,,,,,,,,,,,,,,N/A,,,N/A,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
42,TGT,Target Corporation,92.35,31.45,34.07,-8.29,-10.37,34.07,53.92,42.91,0.0,1.34,36.21,41.08,46.93,14.03,21.11,56.1,,49.98,,,,-12.87,"63,736",-43.94,19.17,"723,461",7.47,5.61,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981
278,TREE,"LendingTree, Inc.",68.47,73.93,70.05,-0.51,-2.26,70.05,87.13,78.98,0.0,4.66,74.61,73.62,86.25,42.02,47.23,113.28,,90.78,,,,-16.2,989,1.75,48.28,"8,161",6.03,8.96,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981
148,CHTR,"Charter Communications, Inc.",261.22,66.21,48.02,-2.67,-6.29,32.83,52.19,40.85,81.46,91.52,43.07,42.32,49.1,8.57,7.59,40.69,,,40.69,,-3.44,-1.08,"20,207",3.5,24.44,"82,550",0.96,3.68,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981
50,PTON,"Peloton Interactive, Inc.",7.6,80.89,72.53,-4.85,-5.98,72.53,90.47,83.0,0.0,0.03,78.62,82.0,93.03,-32.75,29.58,72.03,,5.59,,,,-20.5,"14,059",-17.14,-49.52,"593,730",0.84,-1.21,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#F87171
155,BXMT,"Blackstone Mortgage Trust, Inc.",19.43,22.96,22.63,-8.16,-16.11,22.63,30.07,26.8,0.0,2.78,26.05,24.91,17.49,-51.37,-44.61,,,,,,,5.15,"1,515",-9.5,-11.3,"75,125",0.67,1.72,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981
351,PEB,Peabody Energy Corporation,11.54,40.56,42.13,-18.15,-23.78,32.71,59.19,49.6,31.79,23.48,49.4,45.71,86.73,58.46,22.49,92.32,,,,,,-44.61,119,43.37,85.94,651,-32.19,-31.04,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#F87171,#F87171
358,COLL,"Collegium Pharmaceutical, Inc.",39.59,45.23,36.48,-0.48,-7.16,33.0,42.45,38.83,29.8,22.4,38.74,38.35,201.56,373.21,374.45,65.22,,,,,,-165.07,79,-13.19,-4.82,367,6.38,6.69,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981
202,CDLX,"Cardlytics, Inc.",0.89,130.42,127.31,-0.26,-3.29,82.31,134.37,104.25,86.75,92.77,116.29,107.86,141.69,0.07,1.0,165.44,,,,,,-14.38,"1,147",16.68,16.09,"34,449",0.55,2.2,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981
128,ARRY,"Array Technologies, Inc.",8.65,94.26,92.64,-1.09,-2.31,82.43,96.62,90.93,50.99,65.95,89.55,90.99,91.4,-4.25,12.44,,,,,,,1.24,"3,150",23.58,6.49,"107,413",0.28,0.98,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#10B981
341,LIVN,LivaNova PLC,56.59,43.42,48.61,-0.7,-2.87,25.47,56.23,45.81,48.34,61.34,47.49,42.55,46.94,20.24,8.42,50.5,,,,,,1.67,293,0.0,100.68,"1,121",2.28,18.25,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#10B981
251,CHRS,"Coherus BioSciences, Inc.",1.26,70.93,84.66,0.89,-0.38,84.34,111.83,96.71,0.66,6.73,86.16,93.71,78.83,-7.32,-30.97,57.71,,-50.24,,,,5.83,"1,834",15.56,210.85,"13,705",1.41,-3.49,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#10B981,#FFFFFF,#10B981,#F87171
