Ticker,Latest Close ($),Open ($),Low ($),High ($),Daily Volume,Close 1d (%),Close 1w (%),Realised Volatility 100d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),ATM 12m/3m Ratio,Volume Rank,Open Interest Rank
VECO,27.15,26.69,26.54,27.44,"1,061",0.0,5.93,44.88,65.82,-51.99,-36.94,1.63,3.82,"2,224",0.14,4.02,,269 of 371,331 of 371
ABBV,220.81,219.1,217.3,221.55,"34,520",0.0,0.27,23.92,240.16,-3.2,718.78,88.73,-7.72,"349,248",1.3,4.59,,63 of 371,79 of 371
VERX,25.14,25.41,24.86,26.5,"3,338",0.0,3.31,50.28,65.38,-3.95,-20.1,-40.78,88.06,"16,047",0.66,240.99,,201 of 371,252 of 371
GEO,21.61,22.05,21.5,22.44,"12,763",0.0,-6.04,47.58,62.28,-19.33,-12.91,-17.19,-82.73,"466,040",-0.09,8.79,0.9654,117 of 371,62 of 371
EQT,49.99,50.01,49.76,50.98,"18,224",0.0,-1.9,33.76,136.44,-10.61,208.99,69.57,-5.5,"344,268",-0.55,-1.22,,103 of 371,82 of 371
AXON,751.81,750.67,748.73,762.17,"4,251",0.0,0.09,46.86,47.55,-36.17,-11.21,32.22,0.57,"46,750",0.09,3.95,1.0635,174 of 371,191 of 371
INDI,3.76,3.8,3.68,3.93,"3,037",0.0,-3.59,76.64,93.28,-16.07,0.03,-37.03,-3.19,"117,843",0.56,3.29,1.1718,208 of 371,132 of 371
SPCE,3.25,3.28,3.24,3.43,"18,628",0.0,-0.31,92.67,135.3,-9.24,-11.3,2.75,-81.96,"276,779",-0.5,19.85,0.8962,101 of 371,90 of 371
AMZN,231.62,233.77,228.71,234.3,"760,880",0.0,0.73,29.08,33.08,-0.79,-12.2,30.05,55.04,"4,173,325",1.2,3.98,1.1263,6 of 371,3 of 371
NKE,72.31,73.07,71.61,73.32,"96,810",0.0,-2.72,37.27,167.3,0.31,334.6,34.92,28.05,"1,494,275",-0.02,1.26,,29 of 371,23 of 371
EVRG,71.76,71.61,71.51,72.12,457,0.0,-0.75,16.89,232.62,6.33,742.47,0.44,-17.36,"3,835",0.13,2.35,,313 of 371,314 of 371
PI,191.48,193.77,189.13,195.51,"1,193",0.0,4.39,59.08,76.55,-9.68,9.78,12.02,10.16,"5,113",0.67,3.23,0.9366,265 of 371,303 of 371
TNDM,12.18,12.47,12.01,12.64,"2,356",0.0,-4.77,71.94,86.56,0.37,3.75,14.93,15.1,"13,107",0.54,11.84,0.9186,225 of 371,265 of 371
TCOM,76.79,77.5,76.17,77.87,"5,780",0.0,2.62,39.35,86.16,-51.06,73.44,-0.79,81.93,"94,029",1.91,14.22,2.1047,160 of 371,146 of 371
CTO,16.37,16.46,16.32,16.68,160,0.0,-1.27,22.33,,,,0.63,28.0,"2,077",0.24,-1.14,,351 of 371,332 of 371
RH,229.51,233.31,229.5,248.44,"16,771",0.0,0.61,63.35,67.63,-17.08,-28.8,-23.14,-70.49,"106,649",2.65,5.0,0.9188,104 of 371,134 of 371
CDLX,1.43,1.52,1.37,1.52,"37,278",0.0,24.35,135.98,185.4,7.88,-10.91,916.03,1007.49,"47,318",2.58,34.49,0.8025,61 of 371,189 of 371
LYFT,22.84,23.33,21.91,23.5,"138,033",0.0,24.67,60.55,65.53,-16.07,6.33,-66.7,105.17,"1,115,641",12.61,34.22,0.8552,24 of 371,29 of 371
RTX,158.31,158.57,157.62,159.32,"7,947",0.0,0.42,19.27,169.2,-8.46,471.48,-16.54,-48.1,"209,781",0.58,-0.85,,142 of 371,101 of 371
XOM,115.29,114.53,114.17,115.49,"60,779",0.0,2.81,20.21,188.87,-0.86,629.57,11.92,22.45,"1,084,339",0.67,4.78,,46 of 371,31 of 371
PSN,82.88,76.72,76.27,83.17,"1,885",0.0,8.91,32.09,44.98,-26.35,-31.5,-17.36,233.04,"18,712",12.89,13.73,0.9729,238 of 371,242 of 371
QD,4.12,4.19,4.09,4.22,270,0.0,-4.19,52.35,65.0,-36.48,-24.76,-51.26,-60.12,"25,306",-11.37,-13.59,,335 of 371,225 of 371
MDRX,4.75,5.0,4.75,5.0,N/A,0.0,3.26,55.2,,,,,,N/A,,,,367 of 371,367 of 371
MTN,149.1,148.87,147.56,152.63,"2,940",0.0,1.17,29.84,349.01,7.6,729.08,4.63,-59.64,"21,746",0.76,33.57,,209 of 371,234 of 371
ALNY,451.73,455.76,450.7,463.88,"3,664",0.0,-3.6,39.87,48.24,-31.96,-13.58,-7.19,-13.22,"21,289",-0.13,1.54,0.9258,189 of 371,235 of 371
BAND,18.29,16.55,16.55,18.63,667,0.0,11.52,56.22,59.8,-16.58,-38.42,-54.09,17.43,"4,108",18.63,31.96,,293 of 371,310 of 371
XERS,7.67,7.52,7.45,7.75,612,0.0,-0.13,57.45,77.47,-59.05,-49.49,-21.13,50.0,"13,385",0.86,2.21,,297 of 371,262 of 371
HLF,9.31,9.25,9.25,9.61,"29,703",0.0,-0.43,62.2,74.25,-4.39,2.22,-2.21,-38.45,"212,828",0.19,1.4,0.9803,73 of 371,100 of 371
BMY,46.15,46.24,46.01,46.8,"34,496",0.0,-2.92,28.23,246.51,6.99,614.11,56.25,-42.42,"752,326",0.65,1.51,,64 of 371,43 of 371
CNX,30.95,30.7,30.62,31.19,931,0.0,3.44,27.92,42.15,-22.19,3.13,-29.52,2.76,"39,352",1.12,7.27,0.9703,275 of 371,204 of 371
MKSI,119.44,118.32,115.74,122.09,"2,117",0.0,2.97,46.1,123.4,-6.27,133.82,293.49,144.18,"3,542",0.11,-15.99,2.1292,232 of 371,317 of 371
LUV,32.12,31.74,31.57,32.62,"13,712",0.0,1.26,37.21,187.65,5.25,305.41,-46.77,-37.57,"412,209",2.63,8.6,,114 of 371,67 of 371
PSEC,2.76,2.8,2.76,2.82,"2,278",0.0,-1.43,25.26,983.7,12.76,1313.76,-16.56,-10.35,"122,016",0.53,11.78,,228 of 371,129 of 371
AKAM,75.84,76.57,74.89,77.22,"4,000",0.0,-4.24,30.65,37.73,-29.67,-3.39,-58.42,27.47,"94,164",0.19,2.31,0.8102,180 of 371,145 of 371
BYND,2.73,2.7,2.62,2.84,"60,025",0.0,5.0,67.14,131.94,-13.61,-1.42,11.64,462.35,"430,580",1.76,5.58,0.8432,47 of 371,66 of 371
REAL,10.45,10.12,9.97,10.52,"2,187",0.0,11.17,91.6,82.44,3.97,21.39,0.83,-60.12,"75,253",0.17,2.32,0.9574,231 of 371,162 of 371
UPWK,18.14,17.14,17.14,18.22,"15,362",0.0,10.81,46.84,59.41,-12.72,5.24,19.52,780.85,"55,851",1.77,6.2,0.9944,109 of 371,183 of 371
MIRM,73.14,73.7,72.65,74.03,477,0.0,-3.75,40.74,73.76,-5.59,19.73,3.02,5.07,"2,940",0.31,1.48,,310 of 371,324 of 371
PPL,35.61,35.66,35.49,35.88,"1,198",0.0,-1.03,16.29,219.5,2.9,861.14,-0.5,-72.62,"57,537",0.1,18.0,,263 of 371,181 of 371
FOUR,86.82,86.75,85.79,88.5,"7,017",0.0,-0.13,45.77,54.18,-23.2,-0.53,2.56,-25.53,"64,417",0.11,1.32,1.0177,146 of 371,173 of 371
SHAK,98.99,99.72,98.25,101.6,"4,636",0.0,-4.79,45.7,50.28,-22.31,-9.98,11.26,-27.15,"47,105",1.87,3.49,0.9849,167 of 371,190 of 371
XIFR,9.91,9.73,9.7,10.09,"6,822",0.0,-1.88,47.89,1185.44,35.77,2189.71,-5.25,-67.43,"206,010",0.17,2.82,,149 of 371,102 of 371
RWT,6.03,6.03,6.02,6.2,854,0.0,-2.9,30.13,675.51,2.95,1164.8,-39.26,40.92,"33,234",0.05,3.67,,278 of 371,212 of 371
GVA,107.6,108.82,107.5,110.16,654,0.0,-1.81,23.7,97.07,-46.2,77.86,0.0,-22.05,"3,338",0.09,1.37,,294 of 371,319 of 371
ITGR,102.69,103.38,102.39,105.57,67,0.0,-1.48,27.28,36.02,-60.93,1.41,0.0,39.58,311,0.0,11.07,,358 of 371,360 of 371
BURL,262.9,268.15,261.43,269.0,"8,902",0.0,-5.86,36.88,43.54,-38.61,-22.48,11.16,108.09,"49,225",-1.79,16.97,1.0009,137 of 371,187 of 371
DIS,116.1,115.24,115.22,116.66,"75,801",0.0,-0.84,24.45,109.27,-8.86,228.33,159.97,4.56,"870,587",0.38,1.63,,36 of 371,35 of 371
CMI,411.78,417.3,407.96,420.75,"6,402",0.0,0.18,23.49,214.91,6.42,501.56,5.99,8.4,"16,272",0.74,3.68,,153 of 371,250 of 371
CMS,70.38,70.32,70.26,71.14,"3,736",0.0,-1.8,16.51,192.81,-9.24,704.18,56.12,50.77,"9,156",0.15,2.54,,188 of 371,281 of 371
SHOP,147.87,148.47,145.37,149.1,"56,000",0.0,1.96,52.64,49.28,-19.26,-4.51,65.47,68.85,"528,106",0.38,1.84,1.3788,48 of 371,58 of 371
ARAY,1.59,1.6,1.59,1.66,992,0.0,0.0,63.51,75.82,-67.46,-35.59,110.17,146.77,"8,889",1.75,6.58,,271 of 371,283 of 371
ATEC,14.7,15.04,14.65,15.13,"4,331",0.0,-5.95,56.4,73.8,-18.63,2.9,139.68,121.88,"50,597",1.73,6.68,0.8547,171 of 371,185 of 371
FIVN,25.94,25.54,25.44,26.74,"8,577",0.0,-0.61,44.06,65.86,-6.04,-27.01,51.72,135.5,"105,948",0.98,8.25,0.8882,140 of 371,136 of 371
SHEL,71.41,71.75,71.07,72.11,"20,335",0.0,-0.85,16.79,213.57,-24.59,529.52,63.22,-45.02,"231,117",0.34,-1.26,,93 of 371,97 of 371
AEIS,157.79,157.73,155.25,159.98,"1,267",0.0,-1.08,35.57,73.68,5.43,71.75,15.18,17.53,"7,034",0.01,2.03,1.0,258 of 371,291 of 371
RCL,323.07,323.36,316.34,324.34,"19,308",0.0,-7.75,33.15,176.43,-14.58,316.13,79.56,69.46,"127,428",1.67,5.56,1.0,98 of 371,125 of 371
NVMI,296.42,299.15,292.29,303.32,602,0.0,2.86,48.68,50.92,-1.81,-1.49,-1.47,-9.2,"15,060",0.06,3.76,0.9293,299 of 371,256 of 371
TTEK,36.11,36.53,36.06,36.86,"5,031",0.0,-0.22,25.92,70.0,-26.15,29.76,9.06,82.68,"30,527",0.01,13.61,,164 of 371,219 of 371
HRTG,24.87,24.17,24.3,25.67,350,0.0,4.15,62.93,66.67,-33.8,-53.44,-62.92,-63.35,"8,832",4.88,15.15,,323 of 371,284 of 371
BBAI,6.02,5.81,5.61,6.17,"177,633",0.0,23.61,108.94,115.52,-5.9,9.59,-9.56,72.42,"1,192,215",1.72,20.53,0.9463,20 of 371,27 of 371
MGNI,23.85,23.07,22.57,24.2,"6,822",0.0,-1.2,56.7,63.92,-51.37,1.15,-18.05,-13.75,"121,975",1.02,2.74,1.0066,149 of 371,130 of 371
VRNT,20.31,20.31,20.3,20.36,"2,003",0.0,-0.2,47.76,37.81,-63.18,-36.78,2.09,3.84,"35,223",0.0,0.21,,235 of 371,210 of 371
COLL,35.54,36.25,35.45,36.56,84,0.0,-9.01,36.07,67.88,-74.96,-16.64,-3.45,2.44,379,3.27,9.86,,356 of 371,359 of 371
CAMP,2.59,2.72,2.59,2.78,N/A,0.0,-6.83,114.16,,,,,,N/A,,,,367 of 371,367 of 371
HOUS,7.15,7.06,7.07,7.55,"30,566",0.0,4.99,63.12,75.52,0.77,-23.21,-5.71,647.7,"79,332",11.1,36.48,,70 of 371,159 of 371
AR,32.26,32.84,32.17,33.26,"21,500",0.0,-1.77,37.19,43.8,-5.88,1.0,220.7,227.34,"163,918",-0.32,-0.29,0.9703,89 of 371,113 of 371
BILL,51.94,51.65,51.25,52.89,"10,337",0.0,0.43,48.09,60.81,-16.65,4.21,38.36,-50.06,"182,262",0.17,2.97,1.2426,129 of 371,108 of 371
BMRN,54.37,53.9,53.62,55.18,"1,767",0.0,-2.75,27.11,40.46,-12.75,4.05,-44.49,-1.34,"41,650",2.36,3.09,0.9348,242 of 371,197 of 371
PEGA,58.52,58.27,57.69,58.93,"1,276",0.0,0.76,37.66,84.36,-65.45,-19.87,18.15,10.48,"14,064",-0.11,0.94,1.259,256 of 371,258 of 371
LAB,1.35,1.37,1.33,1.42,481,0.0,1.5,70.95,81.91,1.58,-22.84,5.71,14.52,"2,852",-0.04,4.81,,308 of 371,325 of 371
WELL,165.91,165.33,164.33,167.0,"2,370",0.0,-1.52,18.32,185.16,0.92,436.85,-61.87,36.76,"27,076",3.06,6.75,,224 of 371,223 of 371
GTLS,199.98,199.59,199.31,200.04,"1,359",0.0,0.05,45.3,36.68,-73.85,-21.78,7.43,3.58,"10,219",0.13,0.9,,251 of 371,279 of 371
FE,43.44,43.32,43.21,43.6,"20,335",0.0,-0.34,13.9,255.65,-2.65,971.52,1537.28,1275.85,"69,115",0.08,1.33,,93 of 371,168 of 371
QTWO,82.99,82.01,81.54,85.08,"4,525",0.0,0.33,39.17,45.74,1.94,2.27,474.97,610.36,"5,967",-0.22,2.61,0.9999,168 of 371,298 of 371
NVCR,12.69,12.7,12.53,13.24,"2,521",0.0,-0.31,66.53,76.5,-37.62,-18.7,-0.12,-7.49,"32,876",1.39,9.33,1.3483,218 of 371,214 of 371
WT,13.83,13.86,13.7,14.04,334,0.0,-1.98,28.14,128.97,-8.66,233.99,7.74,27.97,"18,363",0.04,0.37,,326 of 371,245 of 371
W,86.36,87.42,86.2,91.36,"15,789",0.0,-4.23,62.49,64.37,-37.28,-23.41,-36.44,-37.07,"311,179",1.09,-0.3,0.9924,107 of 371,86 of 371
CVX,160.09,159.2,158.61,160.66,"27,737",0.0,1.16,18.95,228.59,1.65,817.58,1.14,-37.6,"652,166",0.16,-1.01,,76 of 371,50 of 371
TGT,88.93,89.84,88.74,90.81,"234,012",0.0,-2.83,31.98,217.43,3.34,474.64,185.03,137.24,"799,062",1.7,3.61,,18 of 371,41 of 371
TSLA,425.86,415.61,409.67,428.31,"2,224,781",0.0,15.47,55.6,61.34,-17.49,-12.62,2.94,-29.3,"8,621,068",1.84,8.36,1.0234,1 of 371,1 of 371
CDP,30.45,30.84,30.34,31.08,167,0.0,-0.39,18.28,281.9,-9.65,338.21,0.6,59.05,634,0.0,8.75,,348 of 371,354 of 371
MTCH,37.59,37.62,37.34,38.36,"3,551",0.0,-1.13,34.33,159.75,-23.12,222.81,22.2,-62.05,"161,289",-0.01,-7.21,,192 of 371,115 of 371
LPSN,0.69,0.69,0.66,0.73,"2,373",0.0,-27.88,102.82,125.54,-57.46,-20.57,-35.41,31.4,"84,976",0.52,8.59,2.1406,223 of 371,154 of 371
RGEN,119.39,119.34,117.14,122.9,"1,638",0.0,-0.1,46.2,46.35,-17.54,-10.5,-1.27,18.27,"10,727",-0.67,0.87,0.9534,244 of 371,278 of 371
IRTC,172.2,174.42,171.44,175.65,854,0.0,-4.88,47.73,60.17,-23.93,4.75,-12.41,14.17,"5,238",-0.08,20.33,0.9979,278 of 371,302 of 371
ABR,11.78,11.58,11.56,12.0,"18,852",0.0,-0.93,35.15,306.51,1.1,476.67,-53.57,21.81,"247,582",4.85,8.55,,100 of 371,96 of 371
MMM,155.16,156.49,153.54,158.54,"9,264",0.0,-2.7,24.36,179.23,-1.45,443.26,9.61,-33.28,"168,474",0.56,1.79,,134 of 371,112 of 371
PMT,12.24,12.16,12.16,12.47,749,0.0,-0.97,20.6,567.2,-8.8,869.68,-71.62,-61.53,"70,773",-0.38,3.45,,285 of 371,165 of 371
PRCH,18.09,18.0,17.68,18.48,"10,720",0.0,-0.33,107.51,88.55,-5.93,-8.82,54.42,299.7,"40,414",14.65,18.71,0.8694,125 of 371,200 of 371
SNAP,7.99,7.79,7.72,8.25,"579,829",0.0,9.6,58.04,71.34,-9.11,9.03,20.37,208.02,"2,198,018",-0.04,4.14,1.166,9 of 371,18 of 371
CMPO,19.64,19.39,19.23,19.81,"4,131",0.0,2.19,43.59,48.71,-58.48,-51.18,98.61,100.83,"32,011",0.03,-1.59,,176 of 371,216 of 371
REXR,42.28,43.03,42.01,43.36,"4,010",0.0,-2.87,25.09,286.57,1.7,550.87,-1.76,728.51,"21,987",0.42,0.7,,178 of 371,233 of 371
TYL,536.38,537.32,532.19,543.3,448,0.0,-3.18,22.31,33.17,-29.86,-27.57,-4.07,4.92,"1,891",1.78,3.45,,315 of 371,334 of 371
VTR,67.34,68.1,67.27,68.71,"1,870",0.0,-3.04,18.39,188.99,8.56,569.34,16.58,22.62,"13,477",0.3,4.84,,239 of 371,261 of 371
OMCL,31.18,32.22,31.17,32.8,151,0.0,-6.31,45.61,72.4,-9.29,-16.89,1.34,48.04,"1,083",0.0,5.87,,352 of 371,346 of 371
ALRM,55.22,55.54,55.1,56.6,95,0.0,-2.37,26.33,34.37,-25.14,-22.37,-5.0,-13.64,"1,052",0.19,4.99,,355 of 371,348 of 371
AVDL,15.66,15.66,15.41,15.99,"9,217",0.0,-1.26,46.92,59.1,-26.83,-15.48,35.03,521.09,"59,784",7.21,20.66,,135 of 371,178 of 371
NCLH,25.38,25.6,25.11,25.97,"28,880",0.0,-5.79,45.48,49.98,-28.81,0.73,-8.75,-55.36,"494,580",2.61,6.06,0.9801,74 of 371,59 of 371
GRPN,21.91,22.18,21.43,22.54,"11,084",0.0,-6.81,83.28,84.85,-15.52,-0.72,-8.25,-28.94,"134,984",0.49,19.33,0.941,124 of 371,120 of 371
SSRM,21.78,20.99,20.86,22.4,"5,961",0.0,-4.31,53.54,55.08,-48.94,-38.64,62.6,63.18,"91,468",0.04,2.47,1.0621,158 of 371,149 of 371
MGPI,27.57,27.75,27.37,28.35,221,0.0,-2.72,37.13,198.2,8.78,149.26,4.25,27.75,"2,290",0.17,1.6,,339 of 371,328 of 371
CRNC,11.74,11.23,11.14,11.87,"12,951",0.0,19.43,91.78,88.77,-3.77,-19.71,96.88,118.69,"61,723",1.01,26.37,1.0959,116 of 371,175 of 371
TMDX,119.81,119.15,117.7,121.0,"6,751",0.0,2.41,58.8,65.42,-11.16,-16.88,54.45,43.24,"38,929",3.64,4.8,0.975,152 of 371,206 of 371
ENVX,9.31,8.89,8.84,9.61,"29,799",0.0,16.38,82.79,91.57,-9.13,-3.65,55.46,-45.99,"443,801",0.86,9.91,0.9496,72 of 371,65 of 371
MMYT,97.0,97.01,95.84,97.68,"1,273",0.0,-3.67,43.03,51.23,-20.42,-12.66,-2.68,141.56,"6,586",3.96,14.32,0.8226,257 of 371,296 of 371
DUK,121.1,120.74,120.27,121.5,"5,487",0.0,-0.83,15.76,230.69,0.62,874.28,-38.08,-13.25,"142,316",0.61,1.67,,161 of 371,119 of 371
EB,2.91,2.8,2.8,2.94,652,0.0,5.82,53.47,58.33,-27.78,-22.27,216.5,175.11,"18,703",0.2,-0.2,,295 of 371,243 of 371
EYE,24.85,24.21,23.63,24.95,748,0.0,6.84,45.59,57.81,-18.95,-1.58,124.62,251.17,"12,306",0.02,0.89,1.0471,286 of 371,270 of 371
FSLY,8.63,8.33,8.3,8.82,"6,821",0.0,9.38,66.74,85.68,-4.48,0.33,-28.9,97.31,"127,827",0.63,21.45,0.954,151 of 371,124 of 371
WEC,109.26,109.26,108.85,110.0,406,0.0,-0.42,15.48,230.52,-0.06,1036.71,-21.17,-76.83,"18,425",0.22,-0.95,,319 of 371,244 of 371
CAKE,54.4,54.7,53.9,55.26,"3,461",0.0,-6.55,31.98,181.8,4.52,304.27,89.75,35.89,"24,270",-0.01,10.55,,198 of 371,227 of 371
LYV,169.37,171.0,167.84,171.37,"46,718",0.0,-2.69,22.96,34.24,-11.89,5.13,189.15,75.37,"118,796",0.93,11.06,1.0203,51 of 371,131 of 371
CMRC,4.96,4.86,4.85,5.12,"1,638",0.0,6.44,44.26,72.95,-8.51,-20.03,168.52,45.47,"13,847",1.36,13.92,,244 of 371,259 of 371
BKD,7.53,7.35,7.29,7.62,"10,513",0.0,1.07,33.29,54.22,-32.67,-24.8,178.05,342.65,"37,651",-0.07,3.36,0.4721,127 of 371,208 of 371
AG,10.05,10.05,9.94,10.54,"44,511",0.0,-3.27,57.88,89.66,-11.34,28.22,-21.86,-70.42,"900,971",0.7,-0.0,1.2544,54 of 371,34 of 371
ZTO,19.09,19.23,18.91,19.33,"3,259",0.0,-1.29,33.5,232.31,-4.26,366.95,285.68,1.46,"39,471",0.02,5.92,,202 of 371,203 of 371
OKTA,90.0,90.14,88.9,91.71,"28,756",0.0,-2.13,42.07,43.76,-26.25,-2.79,28.99,21.32,"249,361",0.99,0.2,1.0535,75 of 371,95 of 371
PANW,203.12,202.62,200.33,204.51,"74,769",0.0,2.42,31.56,48.46,-62.72,-28.79,82.3,43.44,"807,820",0.5,2.07,1.0312,37 of 371,40 of 371
JOYY,62.68,63.39,61.82,63.53,538,0.0,1.64,28.08,327.27,-7.24,500.37,13.03,-14.87,"7,045",0.53,-1.34,,304 of 371,290 of 371
TDOC,7.9,7.86,7.78,8.23,"27,684",0.0,1.67,50.06,73.54,-17.48,1.53,-21.64,-17.74,"327,997",2.11,1.58,1.0092,77 of 371,84 of 371
NOTV,1.33,1.34,1.27,1.38,193,0.0,-7.64,104.39,131.58,5.26,-9.97,-74.27,-38.34,"4,075",0.25,14.95,,343 of 371,311 of 371
CNK,28.25,28.5,27.98,28.65,"23,760",0.0,0.28,29.87,127.37,-21.0,156.0,-3.14,60.04,"124,198",9.73,9.81,,81 of 371,127 of 371
MITK,9.9,9.81,9.66,10.03,359,0.0,-5.35,35.36,52.34,-3.91,-21.46,70.95,95.11,"3,697",0.03,1.32,,322 of 371,316 of 371
JPM,311.75,310.39,308.77,312.91,"84,803",0.0,2.03,17.07,190.62,-3.98,564.84,19.04,16.89,"817,456",1.51,3.14,,33 of 371,39 of 371
SOFI,27.14,27.25,26.13,27.46,"642,448",0.0,4.55,45.93,68.37,-36.2,-0.82,34.46,97.92,"4,172,497",1.95,4.04,1.0646,7 of 371,4 of 371
STWD,20.28,20.23,20.17,20.48,"11,193",0.0,-1.46,16.78,379.06,-2.26,1013.85,3.12,85.07,"163,542",0.17,7.21,,122 of 371,114 of 371
COIN,320.56,326.0,311.3,328.49,"603,990",0.0,-1.05,71.84,62.58,-4.49,-4.09,260.88,150.91,"1,333,805",1.03,-1.98,0.9596,8 of 371,25 of 371
LNT,63.86,63.99,63.78,64.43,183,0.0,-1.24,16.36,192.42,1.46,610.6,8.93,0.0,"2,454",0.16,7.11,,345 of 371,327 of 371
PCT,13.18,13.48,12.96,13.77,"9,366",0.0,-0.98,70.71,77.42,-12.34,-0.2,-40.49,-39.12,"344,425",0.21,-0.87,1.0084,132 of 371,81 of 371
SIRI,23.12,23.16,22.98,23.62,"39,491",0.0,-2.9,37.46,238.45,3.37,457.69,244.87,152.61,"448,806",0.49,2.1,,59 of 371,64 of 371
LCII,98.65,99.99,98.4,102.42,457,0.0,-5.15,32.73,311.45,1.37,494.26,0.0,0.88,"1,392",0.0,-6.39,,313 of 371,340 of 371
AVGO,346.17,358.99,341.5,359.93,"240,163",0.0,-3.74,37.12,132.55,-11.41,167.27,-37.6,-16.82,"2,261,623",3.72,3.76,3.1451,16 of 371,17 of 371
MSFT,510.02,510.64,505.94,511.29,"313,014",0.0,1.8,19.05,102.83,-19.82,252.31,17.63,5.59,"2,501,513",0.7,2.46,1.0,11 of 371,15 of 371
FUBO,4.21,4.29,4.14,4.34,"63,310",0.0,1.2,69.5,92.59,-4.65,7.82,42.06,67.48,"676,825",1.26,8.1,0.8736,43 of 371,49 of 371
OPK,1.39,1.38,1.37,1.43,"1,758",0.0,-2.8,36.7,56.93,-12.92,-33.98,-28.07,-67.21,"70,220",-0.39,0.69,,243 of 371,166 of 371
HCI,180.79,179.53,178.3,183.19,710,0.0,-0.91,30.9,75.63,-58.52,22.11,4.57,-31.8,"7,016",0.03,1.62,0.9888,290 of 371,292 of 371
INSG,12.72,12.98,12.56,12.98,"1,511",0.0,-7.83,67.93,87.96,-27.6,-26.79,18.32,9.97,"8,676",0.56,-3.46,,248 of 371,286 of 371
MTSI,131.87,131.37,129.89,133.43,327,0.0,0.61,33.38,40.89,-18.46,-7.8,20.66,-33.67,"3,471",0.38,-3.98,0.8906,328 of 371,318 of 371
AMD,159.16,159.28,155.76,161.62,"1,219,971",0.0,2.24,42.38,48.22,-4.47,-4.77,130.89,68.15,"4,109,591",1.16,0.82,1.0497,2 of 371,5 of 371
UPST,68.12,67.53,65.4,70.16,"111,135",0.0,9.54,72.94,79.21,-17.71,2.92,-38.68,61.44,"536,317",6.39,4.51,1.1317,27 of 371,57 of 371
TREE,75.77,73.84,73.34,77.35,956,0.0,5.57,66.07,71.08,-28.22,4.9,-33.33,10.14,"9,257",0.25,3.99,,273 of 371,280 of 371
NVAX,8.39,8.56,8.32,8.78,"25,069",0.0,1.33,73.19,85.93,-15.39,-2.06,-41.73,61.4,"355,501",4.07,5.99,0.9478,79 of 371,77 of 371
VATE,4.75,4.7,4.65,4.96,N/A,0.0,-5.19,84.79,,,,,,N/A,,,,367 of 371,367 of 371
ASND,199.59,197.96,196.95,200.43,"2,390",0.0,0.97,35.21,51.0,-3.47,-5.82,2.01,46.45,"10,851",6.13,7.08,1.0322,222 of 371,277 of 371
BL,54.84,55.16,54.62,56.04,"1,464",0.0,-0.45,29.75,45.42,-4.91,-14.23,-25.42,-32.81,"8,249",0.13,4.3,,249 of 371,288 of 371
WKC,26.19,26.16,26.02,26.62,43,0.0,1.12,24.11,216.41,-0.3,318.57,7.5,0.0,435,0.0,0.0,,359 of 371,358 of 371
EXPE,225.18,224.98,222.97,228.18,"10,411",0.0,1.73,31.46,118.43,-15.05,143.91,23.93,65.15,"74,661",1.93,6.22,2.4196,128 of 371,163 of 371
MOMO,7.73,7.77,7.69,7.84,"1,900",0.0,2.66,37.73,70.31,48.09,60.41,0.11,69.64,"50,834",0.07,1.35,1.1295,237 of 371,184 of 371
CHRS,1.35,1.38,1.34,1.43,"2,428",0.0,1.5,74.83,120.42,-46.58,-8.62,218.22,261.31,"15,526",0.68,4.17,,220 of 371,254 of 371
GDS,40.14,38.52,38.06,40.63,"22,737",0.0,4.26,66.87,82.3,-37.81,-11.63,-38.39,16.32,"131,082",12.77,29.64,0.9239,85 of 371,122 of 371
LITE,163.34,169.35,160.85,169.58,"7,630",0.0,-0.93,42.43,69.65,-9.58,-30.53,10.53,19.54,"88,340",0.71,16.43,1.0703,143 of 371,152 of 371
ABNB,123.2,121.99,121.52,124.45,"42,763",0.0,0.12,29.59,36.75,-34.06,-2.08,99.86,3.68,"331,991",0.41,1.52,1.025,55 of 371,83 of 371
IQ,2.67,2.67,2.63,2.73,"13,000",0.0,1.91,48.13,78.31,-24.96,-4.4,-14.38,-44.18,"861,899",0.25,0.55,0.9602,115 of 371,36 of 371
FWONK,102.02,100.66,100.22,103.08,292,0.0,-0.12,20.42,29.96,5.23,-24.75,-25.7,54.5,"1,550",2.72,21.57,,331 of 371,336 of 371
VRM,27.33,27.33,27.33,27.33,N/A,0.0,3.41,65.92,,,,,,N/A,,,,367 of 371,367 of 371
CENX,26.4,25.82,25.55,26.83,"3,956",0.0,7.67,54.47,61.32,-26.19,-2.14,-72.33,-18.72,"84,663",7.7,19.02,0.8268,181 of 371,155 of 371
IMAX,32.39,32.56,31.92,32.59,"1,209",0.0,1.82,28.55,48.56,-68.39,-25.41,24.64,-11.49,"12,321",0.08,6.8,1.0,262 of 371,269 of 371
CSGS,65.72,65.01,64.81,66.57,29,0.0,-0.02,24.98,284.01,5.47,466.76,3.57,3.57,88,0.0,-2.22,,361 of 371,362 of 371
ASRT,0.95,0.86,0.86,0.97,554,0.0,17.55,50.17,84.38,21.35,-52.48,-70.47,68.9,"22,740",4.06,5.77,,301 of 371,229 of 371
